0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
I love your food Chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always fresh food, The prices are very reasonable,It's great to see that they now offer brown rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The serving amounts in my burrito (Beans,The burrito had to be wrapped twice because it fell apart the first,rice,meat,Barely any meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great for food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got our food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotta love chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other than that it was good food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle has always been my go-to place for a quick delicious meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The medium was so hot it rendered the food inedible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 An employee was wiping down the tables and asked us how we were doing and how we liked the food,I found the chicken , Loved seeing the chicken/meat being grilled fresh,guacamole was delicious,and the steak to be quite tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once you order your food it will take you to a payment option in which you can put in your credit card info or choose to pay ,The only negative is the food may be warm by the time you get,My GF called me on the way home from work to remind me that today was free teacher day at chipotle,Once you get on chipotle,white rice,I ordered the bowl with extra,My gf ordered a bowl as well , chicken,Also I ordered double chicken ,black beans,and we ordered chips with guac,cheese,sour cream ,and lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I took advantage of recent free burrito offer,lime rice,why so much rice,Naturally raised chicken (+1 point),black beans,a couple salsa choices (mild ,Baby also had a cold cold heart of sour cream and cheese that did not manage to permeate the rest of the ingredients ,white cheese,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I come to Chipotle because the food is fresh,I understand that there was a romaine lettuce recall ,but they had no lettuce at all,There are so many other kinds of lettuce ,they were also out of crisy corn shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I almost feel like I see a new face everytime I come into chipotle but none the less they are still able to offer the some consistency I hope for after my 30 minutes ride to the restaurant my burrito means a lot to me trust m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh and yummy ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Place was in need of a cleaning but staff were busy preparing food for customers,I stopped by for a salad bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i was in and out of this chipotle in 5 minutes tops,best chipotle experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I called in the order (although you can also order online or with a fax) and the food was all ready,the food has either been ready,The last thing I'd like to mention is the quality of the food,I would highly recommend this establishment to anyone looking for delicious food, The burritos are *,good prices, The chips are really good,big* and stuffed with what you choose (as opposed to other places which skimp on ingredients),) and the ingredients are always fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Its pretty decent burrito joint,The bowl is also pretty good, and I usually get the steak because they have just the right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont give you sour cream and guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I will stop coming to chipotle for good,Plus they start giving customers no meat after they charge you for it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but the low quality chicken,and beans were very obvious,lettuce,I can tell this location is buying low quality ingredients ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rice,beans and chicken had no flavor at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Really shitty service plenty of people working but the guy making the burritos was an absolute,way to much sour cream and cheese and way to much rice I had to throw away my burrito halfway because there was absolutely no chicken in it,57$ for a burrito that's hi,i expect i much more quality burrito for the price especially ,Place isn't very sanitary either probably my worst experience at chipotle so far ,when you can go to any pizza place and order a full medium pizza for that price,only gave me half a scoop of chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the middle of our order they stopped it to take online orders and forgot about my husbands burrito ,I've been coming to this chipotle for over 3 yrs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The burritos are huge,My boyfriend usually gets a chicken burrito which he loves , My boyfriend's son never knew what he was missing until we took him to Chipotle and he tried the kid's tacos,and his son gets the kid's Make Your Own taco kit,rice, You don't have to worry about hidden chicken stock or lard here,The only thing I would like to see is if this Dedham location Chipotle would add the Gardein (vegan chicken) to their menu like some other,I love how vegan friend Chipotle is with their black beans, You can get different types of salsa too, And the kids comes with a bag of chips - yum,They get their protein (he chooses the shredded pork because it's the least spicy) and then adds 2 toppings - cheese,and lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff are more focused on goofing off and socializing than prepping food or taking orders,The rice ,and chicken had no flavor,steak is always fatty/chewy as if this restaurant was using a completely different,type of steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you can get food,chicken ,they were out of steak,they're out of lettuce and cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero tolerance for places that serve food making their workers come in sick,Nobody wants to buy food from someone who's coughing,Now were stuck with food we can't eat,Zero stars for selling food you can't eat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The boy who heats up the tortillas and gets your rice was so sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explosive burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was such a refreshing trip for food after traveling,Of course the food was great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food is price moderately ,Great place if u like mexican food,nothing extravagant just good Mexican food,Had a ice cold beer with my chicken burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's a lot of food,and usually scarf down the fajita burrito, If I'm going to shell out 6 bucks for a burrito,In a city that lacks good burrito joints,the spicy chicken, I like not having beans forced upon me,fresh cheese,the cool sour cream,all the ingredients in front of me, We're here to discuss the sublime deliciousness that is Chipotle, All the different tastes coming together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food in this location is really bad,the people is really nice but is not well prepare just check the guacamole taste of old,avocados and it was ready black by the time I got it cilantro was also black inside of the guacamole the best location is the one on tanasbur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this became my new food joint by default,my burrito bowls are always half the size they should be (why are they always skimping on food,especially the meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and they have NEVER rolled my burrito properly,I've been to many chipotles,I love chipotle,But I hate this chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered a barbacoa bowl ,and I had so little meat that the cashier thought I had a veggie bowl,I think they were trying to move the line as quick as they could and the quality was not very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but Chipotle is consistently great food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Chipotle was one of the worst chipotle' I've ever been to,Will definitely drive out of my way to go to another chipotle,My boyfriend and I ordered chips ,The cashier also gave us an attitude when ordering the queso and chips,Also they were somehow out of sour cream,The drink machine area was a distasteful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My husband wanted a burrito,Same young lady who first attempted my husbands burrito made them ,My tacos were the most ridiculous,One taco literally had 1 piece of corn on it,Another had so much sour cream (about 1/3 cup) I had to scrape it off, When he asked for a side of sour cream for us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I will stop coming to chipotle for good,Plus they start giving customers no meat after they charge you for i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got my food at 9:55pm,You just opened a chipotle (one that is too small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I either get the tacos or burrito depending on how hungry,but the burrito is HUGE,The tacos fill you up for sure,I am with their spicy-ish chicken (it may not be spicy to other,I can't resist the guacamole because I love the stuff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
made the best damn salad I've ever had at chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This location reminded me that Chipotle is capable of making food that actually has flavor,I had been frequenting a location near where I work and apparently it lowered my taste st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the only bad experience I've had with the food chain too,I read the reviews and was excited to try this chipotle while on vacation,I don't even want to try chipotle again because of this experience,even though we gave them back the bowl with the dead,then kept trying and refunded just my bowl,I found a dead bug on my lettuce ,tastes good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's always packed here so we try to order our food in advance for pickup to avoid the wait time,It's chipotle so therefore it's good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When our food came to our workplace,I was shocked at the amount if food they gave,You get to choose between burrito bowl,burrito wrap,taco,soft tacos or a salad,white rice ,All of my coworkers ordered the bowl ,I chose the chicken bowl with guacamole,I devoured the entire bowl ,Their chicken is definetly not dry,fresh salsa,roasted corn salsa,green salsa,cheese,and lettuce,soft s or a salad,however Chipotle's ingredients are high, quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
) and it is WAY over priced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy and delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food,I guess it's a quality problem they have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Also food portion always are small,I am going to other chipotle locati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it took fifteen minutes just to get food, Hot foods should be kept at 140 degrees ,and cold foods should be kept at 40 degrees,- I explained the food related,no one wants to listen to rap or hip hop while eating a burrito off of a table that's vibrating from the bass,- The lettuce on my burrito bowl was rotten,Pros:  This place offers Tex Mex at a fair price,rice,- The chicken,and beans were served at the incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Started ordering via chipotle app since this place always has a 15min line up,Decent portion decent price great,I always get their chicken bowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food suffers,the food started piling up,) this is a problem because the hot food is just sitting there out in the open,The food starts to lose its warmth,For the most part this doesn't change regardless of which chipotle I go,This last experience at this chipotle,A previous visit at this chipotle left me ,cheese Etc,sour cream,but there were several people in front of me who had yet to get their order finished (lettuce,Chipotle is a place I go to and expect to know exactly what I'm getting and what it will taste like,it just makes the whole thing taste as if it isn't as fresh,as it COULD/SHOULD taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 stars for great fresh food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every single table was messy with stains and food,I watched employees step over an entire spilled burrito bowl on the floor for over 30 minutes,By far the filthiest chipotle I have ever been to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I paid for a bag of chips they were stale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you really want chipotle,I am never coming back to this chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this location is in the mall food court,i got a chicken burrito however I asked them to put it in a bowl,They put more than enough rice as I've been to other chipotle ,They got the bowl put the tortilla in it then the white rice ,and they skimp on the rice ,The rice had the lime,Thought they were going to wrap it then put it in the bowl they did not,and chicken,I got the tomato salsa corn lettuce ,and sour cream with the open,flavor that you can taste as other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there is big lineup to order the food,- I am big fan of Mexican spicy food however,food is not spicy at all,- Burrito is filled with rice,- Price steep,beans,cheese or sour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delicious food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just a fyi I've seen these nasty people pick food up off the counter ,Tonight my burrito was half,I told the guy there was way too much cheese and guess what he does- picks up the cheese off my burrito ,I'd rather drive to Braintree plaza to get a burrito then bother with this place again, rice,a tiny bit of chicken,and half cheese,and tosses it back in the bin if cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and tastey food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If I could give negative  stars I would my pregnant  girlfriend  wanted chipotle  so bad,and literally there was hardly any rice in her bowl ,and the chicken  was gummy  for some reason not only that she found a bone in the chicken definitely  will not ever be going back so upset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is always fresh, and the price is similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The food was tasty, Out of all the chipotle sauces on the tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the gloves that are touching the food are dirty,counters are dirty with smashed food all over the place,I ordered a salad ,and they wait until I'm at the register to pay to tell me they didn't have salad dressing,Why wouldn't you tell me that when I asked for the salad rather than at the end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they place the food by the alphabet so ,when someone looks for their order they didn't find it because whoever put the food there placed them on the wrong,This is my go to chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line up at a food place in a mall,Line ups are everywhere and will definitely occur at a venue that offers yummy food for a good,mixed rice,they found out that I was volunteering earlier in the day at a baby salmon fish release at Eagle Creek and they gave me my bowl on the house ,black beans,half steak half barbacoa,Positive Karma and good vibes taste so good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-- never got a refund they just offered to make me more food,bugs in their lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 It's a chain burrito joint, You order and then watch as they pass your order along a conveyor belt as you shout the ingredients off that you want and they slap the choices into your burrito (or taco, I'd go back and stick to the usual chicken burrito (no rice,bowl) you get the point,black beans,salsa ,salad, Chipotle's ingredients are definitely on the fresher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food was DISGUSTING,She had the audacity to be rude and unprofessional and argumentative after I explained to her the issue on how disgusting the food was,Hazel told me that they cannot remake my food since they already issued me a refund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food was nothing to phone home about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do they forget 2 different burritos,Worst chipotle around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but I'm in food service ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
there's a cool option to do half chicken ,or half of any meat option that you want (just a tip,and half steak,I chose one without cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We get home and there's no guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I live about 5 mins from this location and my girlfriend and I ordered food for delivery,once the food got to us,the meat was cold in the bowl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And their burrito bowl from a taste perspective doesn't differentiate itself from ANY OTHER Mexican chain,Any mexican place that CHARGES for chips and then turns around and CHARGES for salsa is a no in my book,40 for a tiny bag of chips I don't expect to pay for salsa,not guacamole, Chipotle may be trendy because of the sourcing of its ingredients , Because the taste is the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I guess people like eating low quality ingredients ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chips are a bit stale,The salad I ordered contained no lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Come here all the time today instead of the bowl I had two tacos they were great,but the bowl is my most favorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today they were out of sour cream ,and lettuce,Your money at the Delaware location will get you terrible customer service and ingredients that look old,Portions are less than adequate and they are always out of a major ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My stomach tells me it's either Saturday or Sunday when it injects an image of a bulbous burrito into my mind,and I recite the prayer: Chicken burrito,The burrito wrap doesn't fight,and I go for the burrito again,brown rice,I nod my head and mouth 'black' as I stare at the chicken ,black beans please,They always ask a second time if I want black or pinto beans,cheese (no sour cream) and the corn salsa,I ingest real meat here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can order your food at 12pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And there was a chunk of chicken in both the queso and our tofu burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I come here at least once a week and usually get a chicken bowl with all of the salsas,The chips are amazing,sour cream and cheese,Seriously delicious ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was hardly any lettuce or carnitas - the majority of it consisted of cheese,sour cream,It tasted like spoonfuls of sour cream ,Ordered a salad online from Chipotle today ,can't put together a decent salad,It tasted like spoonfuls of  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The meat in my sons meal was about half the normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The line to pick up food is almost always longer than the line to order food,I waited 40 minutes to pick up my food one day,I realized this area is a busy one with limited food choices around so today I ordered my bowl online again,I don't eat meat and to my surprised I opened my bowl to EXTRA chicken and no rice (,when I asked for extra rice),How am I even to attempt to pick around extra chicken,As I was eating the quac that I could on the top with some chips I had found in my office I came across the outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a lot of food missing,Iv worked in food industry before,you should know how popular you are and make sure you have plenty of food ready,I had three people make my bowl because they seemed all confused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I go to chipotle almost everyday,For my order to go and they didn't not put lids on my bowls,The end of line I asked for lids for my two bowls ,When they finally got the lisa she started checking others out and wouldn't give me my bowls,When I said yes please she opened the bag and threw both bowls in there ,My bowl on top turned upside,and guacamole ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank goodness I look at my food for every bite I tAke,I always get chips ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Chipotle location and good food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food looked like it was from lunch all built up on the sides,my order of food was cold,my wife's food kind of warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My food was good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Came for a burrito ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly workers and reasonable prices,the undercooked rice made us sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love chipotle ,but the workers here had a bad attitude and gave us absolutely no rice lmao,Our bowls looked like sloppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once I received my food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excellent customer service and food,this is my favorite chipotle location the staff is very polite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food was as good,floors scattered with food debris,and gross floors and food prep,and very much looking forward to the quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this location is pretty consistent and preordering usually comes pretty quick however this time my order was completely off from leaving out 3-4 ingredients to even giving me the wrong type of rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
love chipotle ,a side of guac and chips,puts cheese ,so then they proceeded to put more cheese ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The people working were nice and friendly but the food was so generic,I ordered a chicken burrito ,and steak burrito,The burrito came with brown/white, rice,beans ,and not even any refried beans,salsa,the lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food isn't cooked like the others,make the drive to a different chipotle location,doesn't taste the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waiting 30 extra minutes for food is fine,I have been sitting waiting for my food for over an hour,There were over 25 people in the store waiting for their food,Not mad just disappointed  I will continue to wait for my food as the only, way to cancel it is to open a case with chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of all days chipotle wants to be a plum,If I wanted bland rice ,Whoever made this batch of rice really screwed up because there was absolutely no cilantro ,and no lime just plain unseasoned white rice,and chicken I could've made this at home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 stars because I found plastic in my food,their food is very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best chipotle service I've ever had,I asked for a salad bowl and they asked me if I wanted rice ,I was pretty satisfied with service at this location and will come back here next time I crave their chicken bowl,and beans on top of my lettuce,I enjoyed the fact that they gave me a lot of lettuce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very busy so but still not an excuse for poor quality food,Worst burrito ever,This has got to be the worst chipotle location I have ever been to,The rice ,the chicken quality was LOW,and beans were undercooked,The place is usually full of highschool kids in their sports uniforms so I'm sure they don't really pay attention to the quality/uncleanliness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They skimp hard on the rice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Literally waited for over an hour Ordered my food at 5:40 ,after finally arriving home with my food,almost everything I ordered wasn't in my chipotle bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered first and my order is super simple because of food allergies,But after I ate all of my food I was left still hungry,When I asked for extra white rice the woman who was making my burrito bowl stopped,I love chipotle,I got a bowl with extra white rice,turned around to ask the guy prepping more white rice ,I'm not sure what the protocol is but I am pretty sure that they could've given be more rice ,If I was getting everything on my bowl that they offer and ask for more rice, because they couldn't accommodate a little bit more rice,I probably will come back - earlier in the day when I will be allowed to get extra rice,My bowl looked like it was child,black beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is how a typical order goes: burrito bowl, White or brown rice, Black or pinto beans,medium or hot salsa, What kind of meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I had already brought my food home before I realized that it was not my order,I ordered 2 burrito bowls online for pickup ,You can't go wrong with chipotle ,the 2 bowls inside the bag were not mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and the food was fresh,Plenty of food to go around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How ever I do enjoy their guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barely any meat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over priced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line to the back of the store for pick-ups while employees just stood around panicking that they run out of chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't have all of the food out ,and even when i asked for more didn't go get any & i found TWO hairs in my food along with whole,The food is tasteless,also the man handling my food was sweating insanely bad,which isn't his fault but also alarming while leaning over all of the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but their food gave me a literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I like that the line moves pretty quick and I can get my burrito right away,I love chipotle,My order is typically pretty simple as I only get white rice,chicken,black beans,I will occasionally get guacamole if I am feeling extra,and cheese,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
